U+00D7	×	MULTIPLICATION SIGN
U+0430	а	CYRILLIC SMALL LETTER A
U+0431	б	CYRILLIC SMALL LETTER BE
U+0432	в	CYRILLIC SMALL LETTER VE
U+0433	г	CYRILLIC SMALL LETTER GHE
U+0436	ж	CYRILLIC SMALL LETTER ZHE
U+0437	з	CYRILLIC SMALL LETTER ZE
U+0438	и	CYRILLIC SMALL LETTER I
U+0439	й	CYRILLIC SMALL LETTER SHORT I
U+043D	н	CYRILLIC SMALL LETTER EN
U+043E	о	CYRILLIC SMALL LETTER O
U+043F	п	CYRILLIC SMALL LETTER PE
U+0440	р	CYRILLIC SMALL LETTER ER
U+0448	ш	CYRILLIC SMALL LETTER SHA
U+0449	щ	CYRILLIC SMALL LETTER SHCHA
U+044A	ъ	CYRILLIC SMALL LETTER HARD SIGN
U+044B	ы	CYRILLIC SMALL LETTER YERU
U+2192	→	RIGHTWARDS ARROW
U+2207	∇	NABLA
U+2208	∈	ELEMENT OF
U+220B	∋	CONTAINS AS MEMBER
U+221E	∞	INFINITY
U+2220	∠	ANGLE
U+2227	∧	LOGICAL AND
U+222A	∪	UNION
U+222B	∫	INTEGRAL
U+222C	∬	DOUBLE INTEGRAL
U+2234	∴	THEREFORE
U+2260	≠	NOT EQUAL TO
U+2261	≡	IDENTICAL TO
U+2266	≦	LESS-THAN OVER EQUAL TO
U+2267	≧	GREATER-THAN OVER EQUAL TO
U+2282	⊂	SUBSET OF
U+2283	⊃	SUPERSET OF
U+250C	┌	BOX DRAWINGS LIGHT DOWN AND RIGHT
U+2510	┐	BOX DRAWINGS LIGHT DOWN AND LEFT
U+251C	├	BOX DRAWINGS LIGHT VERTICAL AND RIGHT
U+2534	┴	BOX DRAWINGS LIGHT UP AND HORIZONTAL
U+2605	★	BLACK STAR
U+3001	、	IDEOGRAPHIC COMMA
U+3002	。	IDEOGRAPHIC FULL STOP
U+3005	々	IDEOGRAPHIC ITERATION MARK
U+300C	「	LEFT CORNER BRACKET
U+300D	」	RIGHT CORNER BRACKET
U+300E	『	LEFT WHITE CORNER BRACKET
U+300F	』	RIGHT WHITE CORNER BRACKET
U+3010	【	LEFT BLACK LENTICULAR BRACKET
U+3011	】	RIGHT BLACK LENTICULAR BRACKET
U+3041	ぁ	HIRAGANA LETTER SMALL A
U+3042	あ	HIRAGANA LETTER A
U+3043	ぃ	HIRAGANA LETTER SMALL I
U+3044	い	HIRAGANA LETTER I
U+3045	ぅ	HIRAGANA LETTER SMALL U
U+3046	う	HIRAGANA LETTER U
U+3047	ぇ	HIRAGANA LETTER SMALL E
U+3048	え	HIRAGANA LETTER E
U+3049	ぉ	HIRAGANA LETTER SMALL O
U+304A	お	HIRAGANA LETTER O
U+304B	か	HIRAGANA LETTER KA
U+304C	が	HIRAGANA LETTER GA
U+304D	き	HIRAGANA LETTER KI
U+304E	ぎ	HIRAGANA LETTER GI
U+304F	く	HIRAGANA LETTER KU
U+3050	ぐ	HIRAGANA LETTER GU
U+3051	け	HIRAGANA LETTER KE
U+3052	げ	HIRAGANA LETTER GE
U+3053	こ	HIRAGANA LETTER KO
U+3054	ご	HIRAGANA LETTER GO
U+3055	さ	HIRAGANA LETTER SA
U+3056	ざ	HIRAGANA LETTER ZA
U+3057	し	HIRAGANA LETTER SI
U+3058	じ	HIRAGANA LETTER ZI
U+3059	す	HIRAGANA LETTER SU
U+305A	ず	HIRAGANA LETTER ZU
U+305B	せ	HIRAGANA LETTER SE
U+305C	ぜ	HIRAGANA LETTER ZE
U+305D	そ	HIRAGANA LETTER SO
U+305E	ぞ	HIRAGANA LETTER ZO
U+305F	た	HIRAGANA LETTER TA
U+3060	だ	HIRAGANA LETTER DA
U+3061	ち	HIRAGANA LETTER TI
U+3063	っ	HIRAGANA LETTER SMALL TU
U+3064	つ	HIRAGANA LETTER TU
U+3065	づ	HIRAGANA LETTER DU
U+3066	て	HIRAGANA LETTER TE
U+3067	で	HIRAGANA LETTER DE
U+3068	と	HIRAGANA LETTER TO
U+3069	ど	HIRAGANA LETTER DO
U+306A	な	HIRAGANA LETTER NA
U+306B	に	HIRAGANA LETTER NI
U+306C	ぬ	HIRAGANA LETTER NU
U+306D	ね	HIRAGANA LETTER NE
U+306E	の	HIRAGANA LETTER NO
U+306F	は	HIRAGANA LETTER HA
U+3070	ば	HIRAGANA LETTER BA
U+3071	ぱ	HIRAGANA LETTER PA
U+3072	ひ	HIRAGANA LETTER HI
U+3073	び	HIRAGANA LETTER BI
U+3074	ぴ	HIRAGANA LETTER PI
U+3075	ふ	HIRAGANA LETTER HU
U+3076	ぶ	HIRAGANA LETTER BU
U+3077	ぷ	HIRAGANA LETTER PU
U+3078	へ	HIRAGANA LETTER HE
U+3079	べ	HIRAGANA LETTER BE
U+307A	ぺ	HIRAGANA LETTER PE
U+307B	ほ	HIRAGANA LETTER HO
U+307C	ぼ	HIRAGANA LETTER BO
U+307D	ぽ	HIRAGANA LETTER PO
U+307E	ま	HIRAGANA LETTER MA
U+307F	み	HIRAGANA LETTER MI
U+3080	む	HIRAGANA LETTER MU
U+3081	め	HIRAGANA LETTER ME
U+3082	も	HIRAGANA LETTER MO
U+3083	ゃ	HIRAGANA LETTER SMALL YA
U+3084	や	HIRAGANA LETTER YA
U+3085	ゅ	HIRAGANA LETTER SMALL YU
U+3086	ゆ	HIRAGANA LETTER YU
U+3087	ょ	HIRAGANA LETTER SMALL YO
U+3088	よ	HIRAGANA LETTER YO
U+3089	ら	HIRAGANA LETTER RA
U+308A	り	HIRAGANA LETTER RI
U+308B	る	HIRAGANA LETTER RU
U+308C	れ	HIRAGANA LETTER RE
U+308D	ろ	HIRAGANA LETTER RO
